"Page Profile Discussions";"Sayfa Profile Discussions"
"This widget forms the Discussions tab on the Page Profile and displays the discussions of the Page. It should be placed in the Tabbed Blocks area of the Page Profile.";"This widget forms the Discussions tab on the Sayfa Profile and displays the discussions of the Sayfa. It should be placed in the Tabbed Blocks area of the Sayfa Profile."
"Most Discussed Pages";"Most Discussed Sayfalar"
"Displays list of Pages having maximum number of discussions.";"Displays list of Sayfalar having maximum number of discussions."
"Count";"Count"
"Forms the Discussions tab of your Page. It should be placed in the Tabbed Blocks area of the Page Profile.";"Forms the Discussions tab of your Sayfa. It should be placed in the Tabbed Blocks area of the Sayfa Profile."
"Sitepagediscussion";"Sitesayfadiscussion"
"Page Discussions";"Sayfa Discussions"
"{item:$subject} has {item:$object:posted} on a {itemParent:$object::page topic} you posted on.";"{item:$subject} has {item:$object:posted} on a {itemParent:$object::sayfa topic} you posted on."
"{item:$subject} has {item:$object:posted} on a {itemParent:$object::page topic} you created.";"{item:$subject} has {item:$object:posted} on a {itemParent:$object::sayfa topic} you created."
"{item:$subject} posted a new discussion topic in the page {itemParent:$object:sitepage_page}: {body:$body}";"{item:$subject} posted a new discussion topic in the sayfa {itemParent:$object:sitesayfa_sayfa}: {body:$body}"
"{item:$subject} replied to a discussion in the page {itemParent:$object:sitepage_page}: {body:$body}";"{item:$subject} replied to a discussion in the sayfa {itemParent:$object:sitesayfa_sayfa}: {body:$body}"
"ADMIN_ACTIVITY_TYPE_SITEPAGE_TOPIC_CREATE";"When someone creates a new sayfa topic."
"ADMIN_ACTIVITY_TYPE_SITEPAGE_TOPIC_REPLY";"When someone replies to a sayfa topic."
"_ACTIVITY_ACTIONTYPE_SITEPAGE_TOPIC_CREATE";"New sayfa discussion topics creates by member"
"_ACTIVITY_ACTIONTYPE_SITEPAGE_TOPIC_REPLY";"Replying to a sayfa discussion topic"
"This topic is closed for posting.";"This topic is closed for posting."
"ADMIN_ACTIVITY_TYPE_SITEPAGE_ADMIN_TOPIC_CREATE";"When sayfa admin creates a new sayfa topic."
"_ACTIVITY_ACTIONTYPE_SITEPAGE_ADMIN_TOPIC_CREATE";"New sayfa discussion topics creates by sayfa admin"
"{item:$object} posted a new discussion topic:";"{item:$object} posted a new discussion topic:"
"{item:$subject} posted a new discussion topic in the page {item:$object}:";"{item:$subject} posted a new discussion topic in the sayfa {item:$object}:"
"Directory / Pages - Discussions Extension";"Directory / Sayfalar - Discussions Extension"
"ADMIN_ACTIVITY_TYPE_SITEPAGE_ADMIN_TOPIC_REPLY";"When sayfa admin replies to a sayfa topic."
"_ACTIVITY_ACTIONTYPE_SITEPAGE_ADMIN_TOPIC_REPLY";"When sayfa admin replies to a sayfa topic."
"{item:$object} posted a {itemChild:$object:sitepage_topic:$child_id} in the page {item:$object}: {body:$body}";"{item:$object} posted a {itemChild:$object:sitesayfa_topic:$child_id} in the sayfa {item:$object}: {body:$body}"
"{item:$object} replied to a {itemChild:$object:sitepage_topic:$child_id} in the page {item:$object}: {body:$body}";"{item:$object} replied to a {itemChild:$object:sitesayfa_topic:$child_id} in the sayfa {item:$object}: {body:$body}"
"{item:$subject} posted a {itemChild:$object:sitepage_topic:$child_id} in the page {item:$object}: {body:$body}";"{item:$subject} posted a {itemChild:$object:sitesayfa_topic:$child_id} in the sayfa {item:$object}: {body:$body}"
"{item:$subject} replied to a {itemChild:$object:sitepage_topic:$child_id} in the page {item:$object}: {body:$body}";"{item:$subject} replied to a {itemChild:$object:sitesayfa_topic:$child_id} in the sayfa {item:$object}: {body:$body}"
"{item:$subject} posted a discussion topic {itemChild:$object:sitepage_topic:$child_id} in the page {item:$object}: {body:$body}";"{item:$subject} posted a discussion topic {itemChild:$object:sitesayfa_topic:$child_id} in the sayfa {item:$object}: {body:$body}"
"Page Discussion Topic View";"Sayfa Discussion Topic View"
"This widget should be placed on the Page Discussion Topic View Page.";"This widget should be placed on the Sayfa Discussion Topic View Sayfa."
"Page Event Discussion";"Sayfa Event Discussion"
"This widget should be placed on the Page Event Profile Page.";"This widget should be placed on the Sayfa Event Profile Sayfa."
"ACTIVITY_TYPE_SITEPAGEDISCUSSION_CREATE";"When a new topic is posted in the sayfa."
"{item:$subject} has created a page discussion {var:$eventname}.";"{item:$subject} has created a sayfa discussion {var:$eventname}."
"{item:$subject} replied to a discussion topic {itemChild:$object:sitepage_topic:$child_id} in the page {item:$object}: {body:$body}";"{item:$subject} replied to a discussion topic {itemChild:$object:sitesayfa_topic:$child_id} in the sayfa {item:$object}: {body:$body}"
"{item:$object} replied to a discussion topic {itemChild:$object:sitepage_topic:$child_id} in the page {item:$object}: {body:$body}";"{item:$object} replied to a discussion topic {itemChild:$object:sitesayfa_topic:$child_id} in the sayfa {item:$object}: {body:$body}"
